Category,Item,Serving Size(g),Calories,Total Fat(g),Saturated Fat(g),Trans Fat(g),Cholesterol(mg),Sodium(mg),Carbohydrates(g),Dietary Fiber(g),Sugars(g),Protein(g)
Breakfast,Sausage Biscuit,121,420,28,6,0,35,1050,28,1,2,12
Breakfast,"Ham, Egg, & Cheese Biscuit",176,400,24,12,0,175,1550,29,1,3,17
Breakfast,"Sausage, Egg, & Cheese Biscuit",189,530,38,17,0,195,1440,29,1,3,19
Breakfast,"Bacon, Egg & Cheese Biscuit",152,400,26,13,0,170,1270,29,1,3,13
Breakfast,Fully Loaded Biscuit,238,640,45,20,0,225,2190,31,1,4,28
Breakfast,Hash Browns - small,84,250,16,3.5,0,0,580,24,3,0,2
Breakfast,Hash Browns - medium,169,500,33,7,0,0,1140,48,7,0,4
Breakfast,Hash Browns - large,225,670,44,9,0,0,1530,65,9,0,5
Breakfast,French Toast Sticks (3 piece),65,230,11,2,0,0,260,29,1,8,3
Breakfast,French Toast Sticks (5 piece),109,380,18,3,0,0,430,49,2,13,5
Breakfast,Quaker Oatmeal Maple Flavor (Artificial,172,170,3,1.5,0,5,270,32,3,12,4
Breakfast,"Sausage, Egg, Cheese & Hash Brown Burrito",143,370,23,8,0,150,930,27,3,2,15
Breakfast,EGG-NORMOUS Burrito,371,940,57,20,1,375,2460,68,7,5,38
Breakfast,BK Ultimate Breakfast Platter,487,1230,70,23,0.5,380,2550,122,5,33,29
Breakfast,Pancake and Sausage platter,217,610,31,9,0,80,1010,72,1,30,12
Breakfast,CROISSAN'WICH Egg & Cheese,125,340,18,8,0,160,610,29,1,4,12
Breakfast,"CROISSAN'WICH Sausage, Egg & Cheese",169,500,33,13,0,195,930,30,1,4,19
Breakfast,"CROISSAN'WICH Ham, Egg & Cheese",156,370,19,8,0,175,1030,30,1,5,17
Breakfast,"CROISSAN'WICH Bacon, Egg & Cheese",132,370,21,9,0,170,760,30,1,4,14
Breakfast,Fully Loaded CROISSAN'WICH,218,610,40,17,0.5,225,1680,31,1,5,28
Breakfast,KING CROISSAN'WICH  w/ Double Sausage,224,710,52,20,0.5,240,1420,31,1,5,29
Breakfast,"KING CROISSAN'WICH w/ Sausage and
Bacon",187,580,40,16,0.5,215,1260,31,1,5,23
Breakfast,KING CROISSAN'WICH w/ Ham and Sausage,211,580,38,16,0.5,220,1530,31,1,5,27
Beef & Pork,WHOPPER Sandwich,270,660,40,12,1.5,90,980,49,2,11,28
Beef & Pork,WHOPPER Sandwich with Cheese,292,740,46,16,2,115,1340,50,2,11,32
Beef & Pork,Bacon & Cheese WHOPPER Sandwich,303,790,51,17,2,125,1560,50,2,11,35
Beef & Pork,BBQ Bacon WHOPPER Sandwich,303,800,51,17,2,125,1540,53,2,14,35
Beef & Pork,DOUBLE WHOPPER Sandwich,354,900,58,20,3,175,1050,49,2,11,48
Beef & Pork,DOUBLE WHOPPER Sandwich with Cheese,377,980,64,24,3,195,1410,50,2,11,52
Beef & Pork,TRIPLE WHOPPER Sandwich with Cheese,461,1220,82,32,4.5,280,1470,50,2,11,71
Beef & Pork,WHOPPER JR.  Sandwich,134,310,18,5,0.5,40,390,27,1,7,13
Beef & Pork,BACON KING Sandwich,356,1150,79,31,3.5,240,2150,49,2,10,61
Beef & Pork,BACON KING Jr. Sandwich,175,570,38,15,1.5,115,1050,27,1,6,29
